model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,param_model__max_depth,param_model__min_samples_leaf,param_model__l2_regularization,param_model__learning_rate,param_model__max_leaf_nodes
logistic_regression,1.3120602369308472,0.021216042022767966,0.11748671531677246,0.006240222966043906,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.16799465163981578,0.16302241629760095,0.16687269839999538,0.16360043047212663,0.1653725492023847,0.002108874004756612,5,0.6392152990460997,0.6407010484528338,0.638299655822065,0.6416173164923272,0.6399583299533315,0.0012852200112146322,4,,,,,
logistic_regression,1.432226538658142,0.10544470996098801,0.10774791240692139,0.004476660615898274,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.16725165880681753,0.16276271467607833,0.16729941010928445,0.16279642185809984,0.16502755136257002,0.002248078077535122,6,0.6390607752775604,0.6410844554235209,0.6390721551309376,0.6424798578089588,0.6404243109102444,0.0014446988011636614,1,,,,,
logistic_regression,1.4674167037010193,0.07312636619122483,0.11474215984344482,0.004829347431942915,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.16998213759329345,0.16523111046903294,0.16589589424480553,0.16443846430751266,0.16638690165366113,0.00213887067698735,1,0.6391142478868022,0.6410779172508974,0.637285528394502,0.6422920985473175,0.6399424480198798,0.0019075694831265806,5,,,,,
logistic_regression,2.4577558636665344,0.08307180473829887,0.08940255641937256,0.012598372178674397,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.16873358447154865,0.1638014749997344,0.16624606729458105,0.16485507165521007,0.16590904960526853,0.0018469108242443217,3,0.6392246017178271,0.6402920573284031,0.6388458775044932,0.6416886678544347,0.6400128011012896,0.0011033451821086655,3,,,,,
logistic_regression,1.1299569606781006,0.07254730757276928,0.08471441268920898,0.013232424492969836,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.17031707385092826,0.16460328452921516,0.1656861830934751,0.16439778888391904,0.16625108258938437,0.0023979852160326506,2,0.6386866800511518,0.6404626183533613,0.6376631078635029,0.6423544954556147,0.6397917254309077,0.0017867586261523561,6,,,,,
logistic_regression,1.4846758246421814,0.08773174564616337,0.04154258966445923,0.005178870853986636,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.16779351557839206,0.1632675208801656,0.16608276874809963,0.16448806704489843,0.16540796806288893,0.001701023584375901,4,0.6393439031567729,0.6406916675964612,0.6391419430169829,0.6413169869542136,0.6401236251811077,0.0009108307765090813,2,,,,,
random_forest,24.648546278476715,1.5025526318044946,14.117312371730804,0.5651824136261344,,,"{'model__max_depth': 10, 'model__min_samples_leaf': 10}",0.16478698105580833,0.1685787292307938,0.17055087643385258,0.17073193945875303,0.16866213154480192,0.0023914017497536273,1,0.6384197430815107,0.6444750664654995,0.6412831945511437,0.649404599888709,0.6433956509967157,0.004077215237017653,2,10,10.0,,,
random_forest,42.052789092063904,1.407422568758363,9.768409848213196,0.4862620741108215,,,"{'model__max_depth': 10, 'model__min_samples_leaf': 30}",0.16691920595175117,0.1650238259395454,0.16507346278410417,0.1696219057121135,0.16665960009687858,0.0018731149475346364,2,0.6384428222289258,0.6453601360508442,0.6410290230904094,0.6505201045254815,0.6438380214739152,0.004581640358676174,1,10,30.0,,,
random_forest,71.59165006875992,0.2884471647380441,0.4068374037742615,0.14724428135184514,,,"{'model__max_depth': None, 'model__min_samples_leaf': 10}",0.16495418835062664,0.16598991877784683,0.16657484996117036,0.16734863303670705,0.1662168975315877,0.000873914902282395,4,0.6286130227746447,0.639076810025577,0.6374232564221556,0.6413221037849623,0.6366087982518349,0.004819286740711168,4,,10.0,,,
random_forest,61.920354306697845,0.798094509704889,4.748944699764252,0.13306903544526572,,,"{'model__max_depth': None, 'model__min_samples_leaf': 30}",0.1638731649101202,0.16518298895240593,0.16555552286300296,0.1705494445304534,0.16629028031399562,0.002537168173852822,3,0.6353603002874029,0.6457977672140491,0.6421721728266439,0.6483081412330567,0.6429095953902881,0.004873948150315608,3,,30.0,,,
