audit_field,metric,eligible_groups,minimum_group_rate,maximum_group_rate,max_minus_min_difference
age_group,human_review_flag_rate,5,0.32323232323232326,0.44274809160305345,0.11951576837073019
age_group,true_positive_rate,5,0.40625,0.6190476190476191,0.21279761904761907
age_group,false_positive_rate,5,0.2644628099173554,0.34210526315789475,0.07764245324053937
sex,human_review_flag_rate,2,0.35674157303370785,0.4631578947368421,0.10641632170313425
sex,true_positive_rate,2,0.5333333333333333,0.618421052631579,0.08508771929824566
sex,false_positive_rate,2,0.248868778280543,0.35964912280701755,0.11078034452647456
race_ethnicity,human_review_flag_rate,5,0.3125,0.43243243243243246,0.11993243243243246
race_ethnicity,true_positive_rate,5,0.375,0.6163522012578616,0.2413522012578616
race_ethnicity,false_positive_rate,5,0.07692307692307693,0.31451612903225806,0.23759305210918114
